source_account_number,destination_account_number,amount_before_transaction,amount_debited,transaction_time,amount_after_transaction,company_name,company_website,risk_score_dest,is_fraud
1063,1039,6336.557662914347,419.352136207341,2022-03-25,5917.205526707006,Company_1039,www.company1039.com,1,0
1096,1051,2471.714853265205,428.96894946731135,2022-03-17,2042.7459037978936,Company_1051,www.company1051.com,4,1
1052,1070,4519.733829865846,443.0249350645135,2022-02-02,4076.7088948013325,Company_1070,www.company1070.com,4,0
1096,1006,9724.710901017588,466.6540943364829,2022-01-28,9258.056806681105,Company_1006,www.company1006.com,0,0
1004,1067,3323.2008943101478,272.3940882053185,2022-01-08,3050.8068061048293,Company_1067,www.company1067.com,0,0
1094,1007,6910.629980871629,227.54672732845555,2022-01-01,6683.083253543174,Company_1007,www.company1007.com,0,0
1023,1051,3926.7105780222537,332.87949863764555,2022-02-06,3593.831079384608,Company_1051,www.company1051.com,4,1
1015,1072,7961.258131179406,248.46896937505102,2022-03-04,7712.789161804355,Company_1072,www.company1072.com,0,0
1043,1042,2177.8629464651485,340.42966672009317,2022-01-22,1837.4332797450554,Company_1042,www.company1042.com,0,0
1029,1064,9728.389405706903,382.2343450575298,2022-03-11,9346.155060649373,Company_1064,www.company1064.com,0,0
1036,1015,5084.105872452753,375.3620073968547,2022-01-21,4708.743865055898,Company_1015,www.company1015.com,0,0
1013,1029,3124.4541701181756,249.82115480804853,2022-04-06,2874.633015310127,Company_1029,www.company1029.com,1,0
1032,1033,1661.470725970114,166.74408067950114,2022-02-04,1494.7266452906129,Company_1033,www.company1033.com,0,0
1071,1094,2527.8211457878665,272.211735384883,2022-03-20,2255.6094104029835,Company_1094,www.company1094.com,1,0
1059,1027,5677.965537004159,157.03765763276348,2022-01-05,5520.927879371396,Company_1027,www.company1027.com,0,0
1086,1036,4033.0285878815766,456.0388140735233,2022-03-01,3576.9897738080535,Company_1036,www.company1036.com,2,1
1028,1029,8459.950292943486,238.35098429514295,2022-02-15,8221.599308648343,Company_1029,www.company1029.com,1,0
1066,1038,4877.987712956254,161.78389888932952,2022-02-19,4716.203814066925,Company_1038,www.company1038.com,0,0
1042,1057,3238.428453288669,110.17910396230035,2022-02-17,3128.2493493263687,Company_1057,www.company1057.com,0,0
1045,1097,6554.30487943627,358.3289545145937,2022-01-06,6195.975924921677,Company_1097,www.company1097.com,1,1
1062,1027,7360.994951969013,354.7609269818973,2022-03-30,7006.234024987115,Company_1027,www.company1027.com,0,0
1057,1055,2503.3771711085487,236.24166663251665,2022-02-25,2267.135504476032,Company_1055,www.company1055.com,1,1
1006,1033,2508.572946594859,128.6847555390604,2022-02-28,2379.8881910557984,Company_1033,www.company1033.com,0,0
1028,1068,1330.0428424018867,263.8515579580928,2022-01-29,1066.1912844437938,Company_1068,www.company1068.com,2,0
1028,1086,7627.618135590765,224.48699802535742,2022-03-12,7403.131137565408,Company_1086,www.company1086.com,0,0
1044,1066,6974.240748596246,370.8482558940037,2022-03-18,6603.392492702242,Company_1066,www.company1066.com,1,0
